,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
254,254,254,254,255,n-pentyl propionate,#9ACD32,,144.0,169,-75,0.873,1.0,3.6,1.41,2.823,,,,,,15.8,5.2,5.7,165.3,,,,,,,,,,,,,,624-54-4
255,255,255,255,256,o-xylene,#FFD700,,106.0,144.5,-25.2,0.87,0.76,6.608,1.503,3.12,,,,,,17.8,1.0,3.1,121.1,,,,,,,,,,,,,,95-47-6
256,256,256,256,257,p-cymene,#9ACD32,,134.0,177.1,-68.9,0.86,0.76,1.463,1.489,4.1,,,,,,18.0,3.5,2.7,156.3,,,,,,,,,,,,,,4939-75-7
257,257,257,257,258,R-limonene (+) (D),#FFD700,,136.0,176,-75,0.84,0.923,1.98,1.47,4.57,,,,,,16.5,0.6,0.0,162.9,,,,,,,,,,,,,,5989-27-5
258,258,258,258,259,tert-Amyl methyl ether,#9ACD32,,102.0,86.3,-80,0.766,0.46,75.2,13.862,1.55,,,,,,15.2,4.5,2.5,136.1,,,,,,,,,,,,,,994-05-8
259,259,259,259,260,Triethylamine,#FF6347,,101.0,89.3,-114.7,0.75,20.14,57.155,1.401,1.45,,,0.0,0.71,0.14,15.5,0.4,1.0,139.7,,,,,,,,,,,,,,121-44-8
260,260,260,260,261,"1,1,3,3-tetramethylguanidine",,,115.11,,,,,,,,,,0.0,0.86,0.76,,,,,,,,,,,,,,,,,,80-70-6
261,261,261,261,262,"1,3-dichlorobenzene",,,145.97,173,-24.8,1.288,,2.15,1.5515,3.53,,5.02,0.0,0.03,0.75,,,,,,,,,,,,,,,,,,541-73-1
262,262,262,262,263,"1,3-dimethylbenzene",,,106.08,139,-48,0.86,,8.29,1.4973,3.2,,2.367,0.0,0.11,0.47,,,,,,,,,,,,,,,,,,108-38-3
263,263,263,263,264,"1,4-difluorobenzene",,,114.03,,,,,,,,,,0.0,0.03,0.58,,,,,,,,,,,,,,,,,,540-36-3
264,264,264,264,265,1-bromobutane,,,135.99,101.3,-112,1.2686,,41.97,1.4398,2.75,,,0.0,0.13,0.5,,,,,,,,,,,,,,,,,,109-65-9
265,265,265,265,266,1-butyl-3-methyl-1H-imidazol-3-ium trifluoromethanesulfonate,,,,,,,,,,,,,0.63,0.46,1.01,,,,,,,,,,,,,,,,,,174899-66-2
266,266,266,266,267,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,,,,,,,0.62,0.24,0.98,,,,,,,,,,,,,,,,,,174899-83-3
267,267,267,267,268,1-ethyl-3-methyl-1H-imidazol-3-ium dicyanoazanide,,,,,,,,,,,,,0.53,0.35,1.08,,,,,,,,,,,,,,,,,,370865-89-7
268,268,268,268,269,1-ethyl-3-methyl-1H-imidazol-3-ium hexafluorophosphate,,,,,,,,,,,,,0.76,0.2,0.99,,,,,,,,,,,,,,,,,,155371-19-0
269,269,269,269,270,1-ethyl-3-methyl-1H-imidazol-3-ium hexyl sulfate,,,111.09,,,,,,,,,,0.65,0.71,0.98,,,,,,,,,,,,,,,,,,65039-03-4
270,270,270,270,271,1-ethyl-3-methyl-1H-imidazol-3-ium octyl sulfate,,,,,,,,,,,,,0.65,0.77,0.93,,,,,,,,,,,,,,,,,,790663-79-5
271,271,271,271,272,1-ethyl-3-methyl-1H-imidazol-3-ium perchlorate,,,,,,,,,,,,,0.56,0.41,1.11,,,,,,,,,,,,,,,,,,65039-04-5
272,272,272,272,273,1-ethyl-3-methylimidazolium acetate,,,,,,,,,,,,,0.4,0.95,1.09,,,,,,,,,,,,,,,,,,143314-17-4
273,273,273,273,274,1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,,,,,,,0.76,0.28,0.9,,,,,,,,,,,,,,,,,,174899-82-2
274,274,274,274,275,1-ethyl-3-methylimidazolium nitrate,,,,,,,,,,,,,0.48,0.66,1.13,,,,,,,,,,,,,,,,,,143314-14-1
275,275,275,275,276,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,,,,,,,,0.7,0.26,1.03,,,,,,,,,,,,,,,,,,143314-16-3
276,276,276,276,277,1-hexyl-3-methyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide,,,,,,,,,,,,,0.65,0.25,0.98,,,,,,,,,,,,,,,,,,382150-50-7
277,277,277,277,278,1-iodobutane,,,183.97,,,,,,,,,,0.0,0.23,0.47,,,,,,,,,,,,,,,,,,25267-27-0
278,278,278,278,279,"2,2,2-trifluoroethanol",,,100.01,,,,,,,,,,1.51,0.0,0.73,,,,,,,,,,,,,,,,,,75-89-8
279,279,279,279,280,"2,6-dimethylpyridine",,,107.07,144,-6,0.92,,,1.498,1.68,,,0.0,0.76,0.8,,,,,,,,,,,,,,,,,,108-48-5
280,280,280,280,281,2-bromopyridine,,,156.95,,,,,,,,,,0.0,0.53,1.0,,,,,,,,,,,,,,,,,,109-04-6
281,281,281,281,282,2-chloroaniline,,,127.02,209,-2,1.0,2.9157,0.204,1.58586,1.92,,13.4,0.25,0.4,0.83,,,,,,,,,,,,,,,,,,95-51-2
282,282,282,282,283,2-chloroethanol,,,80.0,128-130 ,-67,1.2,,,1.4419,-0.06,,,1.28,0.53,0.46,,,,,,,,,,,,,,,,,,107-07-3
283,283,283,283,284,2-cyanopyridine,,,104.04,224.5,29,1.081,,,1.5242,0.45,,,0.0,0.29,1.2,,,,,,,,,,,,,,,,,,29386-66-1
284,284,284,284,285,2-fluoropyridine,,,97.03,,,,,,,,,,0.0,0.51,0.84,,,,,,,,,,,,,,,,,,372-48-5
285,285,285,285,286,2-heptanone,,,114.1,151,-35.5,0.81,0.77,3.85,1.408,1.98,,,0.05,0.48,0.61,,,,,,,,,,,,,,,,,,110-43-0
286,286,286,286,287,2-methyl-2-butanol,,,88.09,87.35,-8.4,0.8096,,16.7,1.4052,0.89,,11.7,0.28,0.93,0.4,,,,,,,,,,,,,,,,,,75-85-4
287,287,287,287,288,2-methylbutane,,,72.09,28,-160,0.6,0.214,,1.3537,2.3,,,0.0,0.01,-0.08,,,,,,,,,,,,,,,,,,78-78-4
288,288,288,288,289,2-phenylace-nitrile,,,117.06,233.5,-23.8,1.0205,,0.089,1.52105,1.56,,18.0,0.0,0.41,1.0,,,,,,,,,,,,,,,,,,140-29-4
289,289,289,289,290,2-phenylethanol,,,122.07,219,-27,1.0185,,,1.532,1.4,,,0.64,0.61,0.88,,,,,,,,,,,,,,,,,,60-12-8
290,290,290,290,291,"3,4-dimethylpyridine",,,107.07,,,,,,,,,,0.0,0.78,0.73,,,,,,,,,,,,,,,,,,583-58-4
291,291,291,291,292,3-bromopyridine,,,156.95,,,,,,,,,,0.0,0.6,0.89,,,,,,,,,,,,,,,,,,626-55-1
292,292,292,292,293,3-chlorophenol,,,128.0,214,33,1.245,11.55,0.125,1.5565,2.495,,,1.57,0.23,0.77,,,,,,,,,,,,,,,,,,108-43-0
293,293,293,293,294,3-methyl-1-octyl-1H-imidazol-3-ium bis[(trifluoromethyl)sulfonyl]azanide,,,,,,,,,,,,,0.97,0.28,0.97,,,,,,,,,,,,,,,,,,178631-04-4
294,294,294,294,295,3-phenylpropanol,,,136.09,235.5,-18,0.993,,0.0234,1.526,1.88,,,0.53,0.55,0.95,,,,,,,,,,,,,,,,,,122-97-4
295,295,295,295,296,4-methylphenol,,,108.06,,,,,,,,,,1.64,0.34,0.68,,,,,,,,,,,,,,,,,,72269-62-6
296,296,296,296,297,4-methylpyridine,,,93.06,,,,,,,,,,0.0,0.67,0.84,,,,,,,,,,,,,,,,,,51010-00-5
297,297,297,297,298,bis(2-methoxyethyl) ether,,,134.09,162,-68,0.95,1.089,,1.4097,-0.36,,,0.0,0.4,0.64,,,,,,,,,,,,,,,,,,111-96-6
298,298,298,298,299,chloroace-nitrile,,,74.99,126,,1.19,,,1.4225,0.23,,,0.0,0.34,1.01,,,,,,,,,,,,,,,,,,107-14-2
299,299,299,299,300,cis-decalin,,,138.14,190,-40,0.885,1.788,,,4.6,,,0.0,0.08,0.11,,,,,,,,,,,,,,,,,,493-01-6
300,300,300,300,301,cyclopentanone,,,84.06,131,-51,0.955,,11.4,1.435,0.38,,,0.0,0.52,0.76,,,,,,,,,,,,,,,,,,120-92-3
301,301,301,301,302,decane,,,142.17,174.2,-29.7,0.7,,1.43,1.4102,5.98,,,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,63335-87-5
302,302,302,302,303,di-n-butyl sulfide,,,146.11,185.5,-80,0.836,,,1.453,,,,0.0,0.38,0.36,,,,,,,,,,,,,,,,,,544-40-1
303,303,303,303,304,dibromomethane,,,171.85,97,-52.7,2.5,,,1.542,1.88,,6.7,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,4371-77-1
304,304,304,304,305,diisopropyl sulfide,,,118.08,121,-78.1,,,,,2.84,,,0.0,0.38,0.36,,,,,,,,,,,,,,,,,,625-80-9
305,305,305,305,306,dimethyl sulfide,,,62.02,37.3,-98,0.85,,502,1.432,0.84,,,0.0,0.34,0.57,,,,,,,,,,,,,,,,,,75-18-3
306,306,306,306,307,dimethylcyanamide,,,70.05,163.5,-41,0.876,,,1.4089,,,,0.0,0.64,0.72,,,,,,,,,,,,,,,,,,1467-79-4
307,307,307,307,308,diphenyl ether,,,170.07,257,28,1.08,,0.0225,1.5805,4.21,,,0.0,0.13,0.66,,,,,,,,,,,,,,,,,,101-84-8
308,308,308,308,309,dipropyl ether,,,102.1,89,-122,0.7,,62.5,1.3807,2.03,,3.4,0.0,0.46,0.27,,,,,,,,,,,,,,,,,,111-43-3
309,309,309,309,310,dodecane,,,170.2,216,-9.6,0.7495,,0.135,1.4216,6.1,,,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,112-40-3
310,310,310,310,311,ethanediol,,,62.04,,,,,,,,,,0.9,0.52,0.92,,,,,,,,,,,,,,,,,,4433-56-1
311,311,311,311,312,ethoxybenzene,,,122.07,172,-30,0.224,,1.56,1.5076,2.51,,4.5,0.0,0.3,0.69,,,,,,,,,,,,,,,,,,103-73-1
312,312,312,312,313,ethyl benzoate,,,150.07,75.5,-34,1.0465,,,1.505,2.64,,,0.0,0.41,0.74,,,,,,,,,,,,,,,,,,70750-03-7
313,313,313,313,314,ethyl chloroacetate,,,122.01,144.2,-26,1.01,,,1.4227,,,11.6,0.0,0.35,0.7,,,,,,,,,,,,,,,,,,105-39-5
314,314,314,314,315,ethyl trichloroacetate,,,189.94,,,,,,,,,,0.0,0.25,0.61,,,,,,,,,,,,,,,,,,515-84-4
315,315,315,315,316,fluorobenzene,,,96.04,,,1.0225,,,,,,,0.0,0.07,0.62,,,,,,,,,,,,,,,,,,462-06-6
316,316,316,316,317,heptanoic acid,,,130.1,223,-7.5,0.9175,3.4,0.0107,1.423,2.42,,2.5,1.2,0.45,0.5,,,,,,,,,,,,,,,,,,111-14-8
317,317,317,317,318,hexafluorobenzene,,,185.99,,,,,,,,,,0.0,0.02,0.33,,,,,,,,,,,,,,,,,,392-56-3
318,318,318,318,319,hexanoic acid,,,116.08,205,-3,0.9255,,,1.4165,1.88,,,1.22,0.45,0.52,,,,,,,,,,,,,,,,,,142-62-1
319,319,319,319,320,hexanol,,,102.1,157,-44.6,0.8185,0.592,0.928,1.4175,2.03,,,0.8,0.84,0.4,,,,,,,,,,,,,,,,,,25917-35-5
320,320,320,320,321,iodobenzene,,,203.94,188.4,-31.3,1.808,,1.06,1.62,3.25,,,0.0,0.06,0.81,,,,,,,,,,,,,,,,,,591-50-4
321,321,321,321,322,methyl formate,,,60.02,32,-100,0.98,,585.7,1.3433,-0.21,,8.5,0.0,0.37,0.62,,,,,,,,,,,,,,,,,,107-31-3
322,322,322,322,323,"N,N-diethylacetamide",,,115.1,185.5,20,0.913,,,1.4374,0.34,,,0.0,0.78,0.84,,,,,,,,,,,,,,,,,,685-91-6
323,323,323,323,324,"N,N-dimethylaniline",,,121.09,193,2.5,0.96,,0.7,1.5582,2.3,,,0.0,0.43,0.73,,,,,,,,,,,,,,,,,,121-69-7
324,324,324,324,325,"N,N-dimethylbenzylamine",,,135.1,180,-75,0.9,,,,1.91,,,0.0,0.64,0.45,,,,,,,,,,,,,,,,,,103-83-3
325,325,325,325,326,"N,N-dimethylcyclohexylamine",,,127.14,163.5,-60,0.85,,,,2.01,,,0.0,0.84,0.23,,,,,,,,,,,,,,,,,,98-94-2
326,326,326,326,327,N-methylacetamide,,,73.05,205,28,0.9371,,,1.4301,-1.05,,,0.47,0.8,1.01,,,,,,,,,,,,,,,,,,79-16-3
327,327,327,327,328,N-methylaniline,,,107.07,195,-57,0.989,1.766,,1.57367,1.7,,6.0,0.17,0.47,0.82,,,,,,,,,,,,,,,,,,100-61-8
328,328,328,328,329,N-methylformamide,,,59.04,182.5,-3,0.9961,,,1.4319,-0.0624,,182.4,0.62,0.8,0.9,,,,,,,,,,,,,,,,,,123-39-7
329,329,329,329,330,octadecafluoronaphthalene,,,461.97,,,,,,,,,,0.0,-0.05,-0.32,,,,,,,,,,,,,,,,,,60433-11-6
330,330,330,330,331,octane,,,114.14,126,-56.8,0.7,0.5151,14.1,1.3974,4.59,,,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,31372-91-5
331,331,331,331,332,oxane,,,86.07,88,-49.2,0.8814,,,1.4211,0.95,,2.4,0.0,0.54,0.51,,,,,,,,,,,,,,,,,,142-68-7
332,332,332,332,333,pentafluoropyridine,,,169.0,,,,,,,,,,0.0,0.16,0.53,,,,,,,,,,,,,,,,,,700-16-3
333,333,333,333,334,pentanoic acid,,,102.07,186.5,-34.5,0.9375,2.3,,1.4095,1.39,,,1.19,0.45,0.54,,,,,,,,,,,,,,,,,,109-52-4
334,334,334,334,335,piperidine,,,85.09,106,-7,0.86,,32.1,1.452,0.84,,5.9,0.0,1.04,0.3,,,,,,,,,,,,,,,,,,110-89-4
335,335,335,335,336,propanoic acid,,,74.04,141,-21,0.99,1.02,3.53,1.3865,0.33,,,1.12,0.45,0.58,,,,,,,,,,,,,,,,,,68990-37-4
336,336,336,336,337,pyrrolidine,,,107.05,89,-63,0.85,,62.7,1.443,0.46,,,0.16,0.7,0.39,,,,,,,,,,,,,,,,,,123-75-1
337,337,337,337,338,tetradecafluorohexane,,,337.98,57.2,-86.1,1.6717,,218,1.2515,,,,0.0,-0.08,-0.41,,,,,,,,,,,,,,,,,,355-42-0
338,338,338,338,339,tetramethylsilane,,,88.07,26.6,-99.06,0.641,,718,1.3587,3.24,,1.921,0.0,0.02,-0.09,,,,,,,,,,,,,,,,,,75-76-3
339,339,339,339,340,thiane,,,102.05,,,,,,,,,,0.0,0.36,0.61,,,,,,,,,,,,,,,,,,1613-51-0
340,340,340,340,341,thiolane,,,88.03,120,-96.2,1.0,,,1.5048,1.8,,,0.0,0.44,0.62,,,,,,,,,,,,,,,,,,110-01-0
341,341,341,341,342,thiolane-1-oxide,,,104.03,,,,,,,,,,0.0,0.81,1.06,,,,,,,,,,,,,,,,,,1600-44-8
342,342,342,342,343,"trans-1,2-dichloroethene",,,95.95,55,-49.8,1.27,0.41,331,1.4454,2.0,,,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,156-60-5
343,343,343,343,344,tributylamine,,,185.21,216.5,-70,0.78,0.73,0.0934,1.4299,1.52,,,0.0,0.62,0.16,,,,,,,,,,,,,,,,,,102-82-9
344,344,344,344,345,"2,4-dimethylpentan-3-one",,,114.1,125.4,-69,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,565-80-0
345,345,345,345,346,2-methylpentane,,,86.11,60,-153,0.6555,,211,1.3715,3.2,,,,,,,,,,,,,,,,,,,,,,,73513-42-5
346,346,346,346,347,"3,3-dimethylbutan-2-one",,,100.09,106.1,-52.5,0.7229,,31.5,1.3952,1.2,,12.8,,,,,,,,,,,,,,,,,,,,,75-97-8
347,347,347,347,348,2-(2-hydroxyethoxy)ethanol,,,106.06,245,-6.5,1.12,0.3,0.005,1.4472,-1.47,,,,,,,,,,,,,,,,,,,,,,,111-46-6
348,348,348,348,349,1-ethoxy-2-(2-ethoxyethoxy)ethane,,,162.13,189,-44,0.91,,0.52,1.4115,0.39,,,,,,,,,,,,,,,,,,,,,,,112-36-7
349,349,349,349,350,2-methylpropylacetate,,,116.08,118,-99,0.87,,17.8,1.3905,1.6,,,,,,,,,,,,,,,,,,,,,,,110-19-0
350,350,350,350,351,propan-2-ylacetate,,,102.07,89,-73,0.87,,,1.377,1.02,,,,,,,,,,,,,,,,,,,,,,,108-21-4
351,351,351,351,352,nonane,,,128.16,150.8,-51,0.72,0.6696,4.45,1.4058,5.65,,,,,,,,,,,,,,,,,,,,,,,111-84-2
352,352,352,352,354,pentan-3-ol,,,88.09,116,-8,0.8,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,584-02-1
353,353,353,353,355,2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol,,,194.12,327.3,-9.4,1.12,,,1.4577,,,,,,,,,,,,,,,,,,,,,,,,112-60-7
354,354,354,354,356,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,,,150.09,285,2,1.1,47.8,,1.4531,-1.57,,,,,,,,,,,,,,,,,,,,,,,112-27-6
355,355,355,355,357,"1,2-bis(2-methoxyethoxy)ethane",,,178.12,216,-45,0.99,,,,-0.48,,,,,,,,,,,,,,,,,,,,,,,112-49-2
356,356,356,356,364,2-methylcyclohexan-1-one,,,112.09,165.1,-14,0.93,,,1.447,,,,,,,,,,,,,,,,,,,,,,,,583-60-8
357,357,357,357,365,ethyl3-oxobutanoate,,,130.06,180.8,-45,1.025,,,1.4195,0.27,,15.9,,,,,,,,,,,,,,,,,,,,,141-97-9
358,358,358,358,366,2-methylpyridine,,,93.06,128.5,-70,0.95,,11.2,1.4957,1.1,,,,,,,,,,,,,,,,,,,,,,,109-06-8
359,359,359,359,372,"2,2,2-trifluoroaceticacid",,,113.99,72,-15,1.5,,,1.285,-2.1,,39.0,,,,,,,,,,,,,,,,,,,,,76-05-1
360,360,360,360,378,"(2,2-dimethyl-1,3-dioxolan-4-yl)methanol",,,132.08,188.5,-26.4,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,36543-79-0
361,361,361,361,379,(4r)-1-methyl-4-prop-1-en-2-ylcyclohexene,,,136.13,178,-74,0.8405,,1.98,1.474,4.2,,,,,,,,,,,,,,,,,,,,,,,5989-27-5
362,362,362,362,382,"(z)-1,2-dichloroethene",,,95.95,55,-80,1.27,,200,1.4435,2.0,,,,,,,,,,,,,,,,,,,,,,,156-59-2
363,363,363,363,383,hexan-2-one,,,100.09,127,-57,0.81,0.62,11.6,1.4024,1.38,,,,,,,,,,,,,,,,,,,,,,,591-78-6
364,364,364,364,384,propylformate,,,88.05,81,-92.9,0.9,,,1.3765,0.83,,7.9,,,,,,,,,,,,,,,,,,,,,110-74-7
365,365,365,365,385,dimethylhexanedioate,,,174.09,109.5,8,1.063,,,1.4285,1.03,,,,,,,,,,,,,,,,,,,,,,,627-93-0
366,366,366,366,386,3-methylbutylacetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,,,,,,,,,,,,,,,,,,,,,,,123-92-2
367,367,367,367,387,2-acetyloxyethylacetate,,,146.06,190.5,-31,1.104,,0.0774,1.415,0.24,,,,,,,,,,,,,,,,,,,,,,,111-55-7
368,368,368,368,388,trimethoxymethane,,,106.06,100.6,,0.9676,,,1.3773,,,,,,,,,,,,,,,,,,,,,,,,149-73-5
369,369,369,369,391,"pentane-2,4-dione",,,100.05,140,-23,0.975,,,1.4494,0.4,,,,,,,,,,,,,,,,,,,,,,,123-54-6
370,370,370,370,392,ethylcyclohexane,,,112.13,,,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,1678-91-7
371,371,371,371,394,methylpropanoate,,,88.05,80,-88,0.915,,,1.3765,0.82,,5.4,,,,,,,,,,,,,,,,,,,,,554-12-1
372,372,372,372,395,methylbutanoate,,,102.07,102.5,-95,0.8945,,,1.388,1.29,,5.6,,,,,,,,,,,,,,,,,,,,,623-42-7
373,373,373,373,396,nonan-5-one,,,142.14,188.4,-3.8,0.8217,,0.552,1.4195,2.88,,,,,,,,,,,,,,,,,,,,,,,502-56-7
374,374,374,374,398,pyrimidine,,,80.04,,22,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,25247-63-6
375,375,375,375,400,cyclopentane,,,70.08,49,-94,0.75,,317.8,1.4065,3.0,,,,,,,,,,,,,,,,,,,,,,,287-92-3
376,376,376,376,401,nonan-1-ol,,,144.15,214,-5,0.827,,,1.433,3.77,,,,,,,,,,,,,,,,,,,,,,,143-08-8
377,377,377,377,405,heptan-1-ol,,,116.12,175,-34,0.8225,,0.2163,1.425,2.62,,,,,,,,,,,,,,,,,,,,,,,53535-33-4
378,378,378,378,406,hexanedinitrile,,,108.07,295,1,0.97,2.6,0.00068,1.438,-0.32,,,,,,,,,,,,,,,,,,,,,,,68411-90-5
379,379,379,379,407,pentan-1-amine,,,87.1,,,0.7545,,,1.421,,,4.6,,,,,,,,,,,,,,,,,,,,,110-58-7
380,380,380,380,408,thiophene,,,84.0,84,-38,1.06,,,1.52684,1.81,,,,,,,,,,,,,,,,,,,,,,,25233-34-5
381,381,381,381,409,1h-pyrrole,,,67.04,130.5,-24,0.96,,,1.5085,0.75,,,,,,,,,,,,,,,,,,,,,,,109-97-7
382,382,382,382,410,n-propan-2-ylpropan-2-amine,,,101.12,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,108-09-8
383,383,383,383,411,butylbenzene,,,134.11,183.3,-87.9,0.8601,,,1.4898,4.38,,,,,,,,,,,,,,,,,,,,,,,104-51-8
384,384,384,384,412,n-ethylaniline,,,121.09,205,-63,0.96,,,1.5559,2.16,,5.9,,,,,,,,,,,,,,,,,,,,,103-69-5
385,385,385,385,413,phenylmethanamine,,,107.07,185,10,0.98,,0.662,1.5401,1.09,,4.6,,,,,,,,,,,,,,,,,,,,,100-46-9
386,386,386,386,414,isopropylbenzene,,,120.09,152,-96,0.86,,4.5,1.4915,3.66,,,,,,,,,,,,,,,,,,,,,,,98-82-8
387,387,387,387,415,methylcyclopentane,,,84.09,71.8,-139.8,0.7486,,138,1.4097,3.37,,,,,,,,,,,,,,,,,,,,,,,5310-57-6
388,388,388,388,416,methylbenzoate,,,136.05,199,-12,1.0855,,0.38,1.5165,2.12,,6.6,,,,,,,,,,,,,,,,,,,,,93-58-3
389,389,389,389,417,2-methylpropanoicacid,,,88.05,153.5,-47,0.946,,1.81,1.3935,0.88,,2.7,,,,,,,,,,,,,,,,,,,,,79-31-2
390,390,390,390,418,"1,1,2-trichloroethane",,,131.93,114,-36,1.44,1.69,23,1.4711,2.35,,,,,,,,,,,,,,,,,,,,,,,79-00-5
391,391,391,391,419,2-methylpropan-1-amine,,,73.09,68.5,-85,0.734,,138,1.394,0.73,,4.5,,,,,,,,,,,,,,,,,,,,,78-81-9
392,392,392,392,420,"1,1,1,2,2-pentachloroethane",,,199.85,162,-29,1.68,,3.5,1.5025,3.67,,,,,,,,,,,,,,,,,,,,,,,76-01-7
393,393,393,393,421,2-methylpropan-2-amine,,,73.09,45,-72.65,0.6958,,372,1.3784,0.4,,,,,,,,,,,,,,,,,,,,,,,75-64-9
394,394,394,394,423,"propane-1,2-diol",,,76.05,188.2,-59,1.04,0.581,,1.4324,-0.92,,,,,,,,,,,,,,,,,,,,,,,57-55-6
395,395,395,395,424,1-acetyloxypropan-2-ylacetate,,,160.07,190,-31,1.058,,,1.414,0.8,,,,,,,,,,,,,,,,,,,,,,,623-84-7
396,396,396,396,428,(4-methylcyclohexyl)methanol,,,128.21,75,,0.9074,19.0,2.55,,,,,,,,,,,,,,,,,,,,,,,,,34885-03-5
397,397,397,397,429,trimethyl-trimethylsilyloxysilane,,,162.09,99,-66,0.7638,,,1.3774,4.2,,,,,,,,,,,,,,,,,,,,,,,107-46-0
398,398,398,398,430,dimethyl-bis(trimethylsilyloxy)silane,,,236.11,,,0.94,,,1.399,,,2.3,,,,,,,,,,,,,,,,,,,,,107-51-7
399,399,399,399,432,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",,,296.08,175,17.5,0.96,,1.05,1.3968,6.74,,,,,,,,,,,,,,,,,,,,,,,556-67-2
400,400,400,400,433,"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",,,370.09,210,-38,0.9593,,0.3,1.3982,8.06,,,,,,,,,,,,,,,,,,,,,,,541-02-6
401,401,401,401,434,2-(2-hexoxyethoxy)ethanol,,,190.16,259.1,-33.3,0.935,8.6,,,1.7,,,,,,,,,,,,,,,,,,,,,,,112-59-4
402,402,402,402,435,2-(2-ethoxyethoxy)ethanol,,,134.09,199,-76,0.99,3.85,,1.4273,-0.15,,,,,,,,,,,,,,,,,,,,,,,111-90-0
403,403,403,403,436,2-(2-bu-xyethoxy)ethylacetate,,,204.14,246,-32,0.985,,,1.4262,2.9,,,,,,,,,,,,,,,,,,,,,,,124-17-4
404,404,404,404,437,2-propoxyethanol,,,104.08,150.5,-90,0.91,,2.9,1.412,0.08,,,,,,,,,,,,,,,,,,,,,,,2807-30-9
405,405,405,405,439,1-methoxypropan-2-ylacetate,,,132.08,146,-66,0.969,,3.92,,0.56,,,,,,,,,,,,,,,,,,,,,,,108-65-6
406,406,406,406,440,1-propoxypropan-2-ol,,,118.1,150.2,,0.8886,,2.2125,1.413,,,,,,,,,,,,,,,,,,,,,,,,1569-01-3
407,407,407,407,446,ethyl3-ethoxypropanoate,,,146.09,168.5,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,763-69-9
408,408,408,408,447,"(3-hydroxy-2,2,4-trimethylpentyl)2-methylpropanoate",,,216.17,257.5,-50,0.95,,,,3.47,,,,,,,,,,,,,,,,,,,,,,,77-68-9
409,409,409,409,448,2-[2-(2-bu-xyethoxy)ethoxy]ethanol,,,206.15,278,-35,0.98,,0.0025,1.4389,0.02,,,,,,,,,,,,,,,,,,,,,,,143-22-6
410,410,410,410,450,"1,3-diacetyloxypropan-2-ylacetate",,,218.08,258,3,1.1565,,248,1.428,0.21,,,,,,,,,,,,,,,,,,,,,,,102-76-1
