,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
238,ethyl isopropyl ke-ne,#9ACD32,,100,113.5,-82.16,0.8,0.45,18.076,1.397,1.331,1.820026288,13.1,0.142915313,0.449020562,0.497381265,16,7.6,4.7,124.9,,,,,,,,,,,,,
236,succinicanhydride,,,100.02,261,119.6,1.503,8.038092331,0.0015,1.470439755,-0.791627914,3.656157249,39.63342423,0.304734218,0.521412103,0.970035484,18.6,19.2,16.6,66.8,,,,,,,,,,,,,
235,Trifluoroethanol,No Ranking,,100.04,74.5,-44,1.391,1.768,71.3,1.29,0.31,2.52,8.55,1.51,0,0.73,15.4,8.3,16.4,71.91948239,,No Group,,,,,,,,,,,358 Ã‚Â£/L
234,"pentane-2,4-dione",,,100.05,140,-23,0.975,0.6,-23.40597968,1.4494,0.4,3.15398922,13.23414671,-0.237162782,0.610630259,0.898756438,17.87354277,7.502782632,5.69978564,107.1632254,,,,,,,,,,,,,
232,"3,3-dimethylbutan-2-one",,,100.09,127,-57,0.81,0.62,11.6,1.4024,1.38,2.68,11.35146111,-0.060254969,0.437048893,0.494763808,15.33558418,6.777920646,0.093027307,118.584106,,,,,,,,,,,,,
233,hexan-2-one,,,100.09,106.1,-52.5,0.7229,2.47,31.5,1.3952,1.2,0.922651686,12.8,0.670292275,0.791419134,0.272778234,15.05674688,2.607312754,10.26225476,115.1795008,,,,,,,,,,,,,
231,Gamma-valerolac-ne,No Ranking,,100.12,205,-31,1.05,1.86,0.33,1.4313,-0.27,4.71,36.14,0,0.58,0.88,15.5,4.7,6.6,95.35238095,,No Group,,,,78.5,73,63,,25,,86,98 Ã‚Â£/L
229,Cyclopentyl methyl ether,Recommended,3,100.16,105.45,-140,0.86,0.549,34.6,1.4235,1.59,1.27,4.76,0,0.53,0.42,16.7,4.3,4.3,116.4653488,Methyl isobutyl ke-ne,No Group,,,,,,,,,,,30 Ã‚Â£/L
230,Methyl isobutyl ke-ne,No Ranking,,100.16,115.7,-85,0.7965,0.55,19.9,1.3962,1.31,2.7,13.11,0.02,0.48,0.65,15.3,6.1,4.1,125.750408,,No Group,61,100,,14.5,50,98,,63,73,,87 Ã‚Â£/L
228,Heptane,Problematic,2,100.2,98.38,-90.549,0.6795,0.395,46.03,1.3855,4.66,0,1.92,0,0,-0.08,15.3,0,0,147.4663723,Heptane,Alkane,,,,,,,,,,,47 Ã‚Â£/L
227,Triethylamine,#FF6347,,101,89.3,-114.7,0.75,20.14,57.155,1.401,1.45,1.412659682,12.79680199,0,0.71,0.14,15.5,0.4,1,139.7,,,,,,,,,,,,,
225,dipropylamine,,,101.12,109.3,-63,0.738,0.517,20.1,1.40455,1.67,1.07,2.9,-0.039661216,0.351262487,0.207586507,15.3,1.4,4.1,136.9,,,,,,,,,,,,,
226,n-propan-2-ylpropan-2-amine,,,101.12,148.6999237,-56.75488429,0.75,4.552313599,15.96747418,1.449524151,1.882763579,1.356953088,6.205259902,0.162926386,0.373191305,0.156926762,17.10434918,0.117366938,1.212007387,121.9595631,,,,,,,,,,,,,
224,dichlorofluoromethane,,,101.94,8.9,-135,3.57,0.313,1360,1.3724,1.55,0.860244963,5.34,0.113596834,0.092126088,0.339978548,15.8,3.1,5.7,75.4,,,,,,,,,,,,,
219,diisopropylether,#9ACD32,,102,178,-80,1.054,11.08,0.8,1.452,0.14,3.193641743,15.59589747,0.25198042,0.518873364,0.89309639,17.8,8.2,12.9,97.4,,,,,,,,,,,,,
220,tetrahydrofurfurylalcohol,#FFD700,,102,107,-92,0.892,30,28.9,1.391,1.32,1.92,10.11628299,0.655866567,0.429498357,0.538653165,15.7,6.5,9.2,115.2,,,,,,,,,,,,,
221,Butyl formate,#FFD700,,102,86.3,-80,0.766,0.46,75.2,1.3862,1.55,1.295590962,4.439906391,-0.020658791,0.191621068,0.272587533,15.2,4.5,2.5,136.1,,,,,,,,,,,,,
222,Ethyl propionate,#FF6347,,102,99.1,-73.9,0.89,0.5,35.928,1.381,1.21,1.75,5.7,0.300035089,0.349112309,0.614969491,15.5,6.1,4.9,115.6,,,,,,,,,,,,,
223,tert-Amyl methyl ether,#FF6347,,102,68,-86.8,0.7192,0.38,149.262,1.368,1.52,1.13,3.9,0,0.49,0.27,15.1,3.2,3.2,141.8,,,,,,,,,,,,,
214,propylacetate,,,102.07,186.5,-34.5,0.9375,2.3,-27.36602877,1.4095,1.39,2.070766905,14.51764286,1.19,0.45,0.54,16.25283454,4.998097311,11.18846855,123.404034,,,,,,,,,,,,,
215,Iso-Propyl Acetate,,,102.07,102.5,-95,0.8945,3.075266653,42.0419902,1.388,1.29,1.72,5.6,0.611651068,0.314862657,0.285563477,15.43611078,3.161254392,8.70578097,121.7146892,,,,,,,,,,,,,
216,pentanoic acid,,,102.07,101.6,-92,0.84,0.544,35.9,1.3845,1.24,1.79,6.3,0.055748168,0.661690693,0.380820931,15.3,4.3,7.6,115.8,,,,,,,,,,,,,
217,propan-2-ylacetate,,,102.07,89,-73,0.87,3.051155423,-3.401938877,1.377,1.02,1.75,10.40660335,0.79596941,0.574267396,0.551866174,14.9,4.5,8.2,117.1,,,,,,,,,,,,,
218,methylbutanoate,,,102.07,89,-73,0.87,3.051155423,-25.3424058,1.377,1.02,1.75,10.9316201,0.84677812,0.60786384,0.594448869,15.22127157,5.110313733,15.27339235,113.7058553,,,,,,,,,,,,,
212,Acetic anhydride,No Ranking,,102.09,241.6,-48.8,1.2047,2.5,0.045,1.4189,-0.41,4.77,62.93,0,0.38,0.9,20,18,4.1,84.74308957,,No Group,,,,70,80,37,,22,,36,43 Ã‚Â£/L
213,Propylene carbonate,Problematic,2,102.09,139.5,-73.4,1.082,0.843,5.11,1.3901,-0.27,2.8,20.7,0,0.29,0.76,16,11.7,10.2,94.35268022,Acetic anhydride,No Group,,,,,,,,,,,40 Ã‚Â£/L
208,3-hexanol,,,102.1,157,-44.6,0.8185,0.592,0.928,1.4175,2.03,0.989258388,3.119430339,0.8,0.84,0.4,16.58880891,1.73145799,6.262827508,127.7238516,,,,,,,,,,,,,
209,4-methyl-2-pentanol,,,102.1,134,-85.8884025,0.82,3.707513576,-38.7685526,1.416,1.65,1.244359645,7.002924968,0.519912579,0.442190794,0.182601283,15.8,4.3,13.5,123.2,,,,,,,,,,,,,
210,dipropyl ether,,,102.1,132,-90,0.81,3.707513576,-1.306846726,1.41,1.43,1.244359645,7.002924968,0.574834708,0.442190794,0.192169637,15.3,3.3,12.3,127.2,,,,,,,,,,,,,
211,hexanol,,,102.1,89,-122,0.7,-0.531729564,62.5,1.3807,2.03,1.165705562,3.4,0,0.46,0.27,15.07668886,2.524131016,2.520229608,132.8934553,,,,,,,,,,,,,
207,Isopropylacetate,Recommended,3,102.13,88.6,-73.4,0.8718,0.49,60.37,1.3773,1.02,1.75,6.3,0,0.4,0.53,14.9,4.5,8.2,117.1516403,isopropylacetate,No Group,,,,,,96,100,77,,,27 Ã‚Â£/L
206,benzonitrile,,,103.04,190.7,-12.8,1,5.038752762,0.768,1.5289,1.56,3.926722686,26,0,0.37,0.9,17.4,9,3.3,102.6,,,,,,,,,,,,,
205,diethylenetriamine,,,103.11,207,-39,0.96,6.386333651,0.23,1.481,-1.3,3.564973125,31.35639141,0.340815677,0.713568059,0.824961772,16.8,13.3,14.3,108,,,,,,,,,,,,,
204,3-methoxybutan-1-ol,#9ACD32,,104,157,-85,0.92,2.28,0.908,1.408,2,2.248019486,13.46258861,0.808158068,0.446356457,0.608931874,15.3,5.4,13.6,113.2,,,,,,,,,,,,,
203,2-cyanopyridine,,,104.04,224.5,29,1.081,2.14737081,101.9430745,1.5242,0.45,4.064750713,36.31789997,0,0.29,1.2,18.99906857,9.767882803,5.146016389,108.1070425,,,,,,,,,,,,,
202,styrene,,,104.06,145,-30.6,0.91,0.696,6.4,1.544,3,0.763423587,2.109672723,-0.031330907,0.319682457,0.465278587,18.6,1,4.1,115.6,,,,,,,,,,,,,
201,2-propoxyethanol,,,104.08,150.5,-90,0.91,5.522986787,2.9,1.412,0.08,2.922649721,13.4261816,0.113938181,0.574793379,0.721401044,16.90017776,7.645434435,7.637496396,118.5674195,,,,,,,,,,,,,
200,o-xylene,#FFD700,,106,144.5,-25.2,0.87,0.76,6.608,1.503,3.12,0.63,3.617346316,-0.031330907,0.319682457,0.465278587,17.8,1,3.1,121.1,,,,,,,,,,,,,
199,benzaldehyde,,,106.04,179,-26,1.044,0.721061451,1.27,1.5455,1.48,2.631389276,18,-0.116735953,0.24919288,0.879728264,19.4,7.4,5.3,101.5,,,,,,,,,,,,,
197,2-(2-hydroxyethoxy)ethanol,,,106.06,245,-6.5,1.12,0.3,0.005,1.4472,-1.47,5.49,28.21790537,-0.229418618,0.506985014,0.987513734,18.12881614,10.91291601,8.014603348,107.071468,,,,,,,,,,,,,
198,trimethoxymethane,,,106.06,100.6,-36.10840961,0.9676,4.46040737,-25.3424058,1.3773,0.884823351,2.376084248,11.69165834,0.961414763,0.517953301,0.661746757,15.3182377,5.834902546,15.24260139,118.2527278,,,,,,,,,,,,,
194,ethylbenzene,,,106.08,139,-48,0.86,0.581,8.29,1.4973,3.2,0.3,2.367,0,0.11,0.47,17.18062451,0.049474911,0.302073518,123.0583274,,,,,,,,,,,,,
195,oxylene,,,106.08,136,-95,0.87,0.64,9.6,1.4959,3.1,0.754678135,1.37905795,-0.164792604,0.319682457,0.460776163,17.8,0.6,1.4,123.1,,,,,,,,,,,,,
196,"1,3-dimethylbenzene",,,106.08,144,-25,0.88,6.632892602,30.41944817,1.48293089,3.12,0.63,12.56419136,0.231011526,0.428564876,0.494113415,17.8,1,3.1,121.2,,,,,,,,,,,,,
193,p-Xylene,Problematic,2,106.17,138.3,13.3,0.86104,0.6,8.84,1.49575,3.15,0,2.27,0,0.12,0.43,17.6,1,3.1,123.3008919,,Arene,,,,,,,,,,,49 Ã‚Â£/L
192,pyrrolidine,,,107.05,89,-63,0.85,6.1472,62.7,1.443,0.46,1.385344869,8.470498417,0.16,0.7,0.39,16.69418839,2.620445971,6.725557434,123.0153085,,,,,,,,,,,,,
189,"2,6-dimethylpyridine",,,107.07,195,-57,0.989,1.766,-5.984824449,1.57367,1.7,3.024728551,6,0.17,0.47,0.82,17.36161383,6.04991145,3.120056483,125.5542977,,,,,,,,,,,,,
190,N-methylaniline,,,107.07,185,10,0.98,1.78,0.662,1.5401,1.09,1.38,4.6,0.541375415,0.685634659,0.393703911,17.39887459,1.811997874,11.36421478,122.1698878,,,,,,,,,,,,,
191,phenylmethanamine,,,107.07,144,-6,0.92,5.68462313,-33.68907829,1.498,1.68,4.061527054,27.94537662,0,0.76,0.8,18.62772814,9.016878962,7.14873802,130.6303335,,,,,,,,,,,,,
188,bromoethane,,,107.96,38.4,-119,1.46,0.379,467,1.4242,1.61,2.03,4.9,0.116521027,0.090975338,0.651355081,16.6,8,5.1,76.9,,,,,,,,,,,,,
187,ethylchloroformate,,,108,95,-80.6,1.1,-1.197148312,71.34618012,1.3947,0.322467992,3.473191263,24.65205858,-0.079911059,0.30172485,0.825109302,15.5,10,6.8,95.6,,,,,,,,,,,,,
185,mcresol,,,108.06,202,12.2,1.03,2.093,0.11,1.54,1.96,1.59,16.60044404,0.677901739,0.468276629,0.8035282,18.5,6.5,13.7,105,,,,,,,,,,,,,
186,m-Cresol,,,108.06,202,11.8,1.03,2.093,0.11,1.54,1.96,1.59,16.60044404,0.677901739,0.468276629,0.8035282,18.5,6.5,13.7,105,,,,,,,,,,,,,
184,hexanedinitrile,,,108.07,295,1,0.97,2.6,0.00068,1.438,-0.32,3.564973125,33.29102076,0.273136381,0.713568059,0.876551918,17.7659782,10.7026369,13.48603049,115.5637489,,,,,,,,,,,,,
182,Anisole,Problematic,2,108.14,205.3,-15.2,1.0419,5.474,0.094,1.5396,1.1,1.71,13,0.6,0.52,0.98,18.4,6.3,13.7,103.7907669,Benzyl alcohol,No Group,,,,,,,,,,,25 Ã‚Â£/L
183,Benzyl alcohol,Recommended,3,108.14,153.7,-37.3,0.9956,0.778,3.54,1.51791,2.11,1.36,4.3,0,0.32,0.73,17.8,4.1,6.7,108.6179188,,No Group,,,,,,97,,16,,,32 Ã‚Â£/L
181,resorcinol,,,110.04,280,110,1.27,7.248441471,0.000489,1.578,0.86,2.09,17.81576505,0.586465846,0.510387124,0.912379553,18,8.4,21.1,87.5,,,,,,,,,,,,,
180,chlorobenzene,#FFD700,,112,131,-45,1.11,0.753,12,1.5241,2.8,1.656377787,5.62,0,0.07,0.71,19,4.3,2,102.1,,,,,,,,,,,,,
179,2-methylcyclohexan-1-one,,,112.09,165.1,-14,0.93,2.588030332,14.75475825,1.447,1.82632733,2.927778713,15.64996023,0.005639702,0.383024377,0.708442929,18.36135802,5.761172181,3.30892467,123.6356537,,,,,,,,,,,,,
178,"2,2,2-trifluoroaceticacid",,,113.99,72,-15,1.5,1.984808436,97.86917725,1.285,-2.1,3.321956484,39,0.73414248,0.271155349,0.774550011,16.4474152,12.23410884,12.34077578,91.39020463,,,,,,,,,,,,,
177,"1,4-difluorobenzene",,,114.03,71.2164147,-56.37350876,1.292231393,-0.075847693,177.0660285,1.453163419,2.64863279,0.630902955,-2.682744454,0,0.03,0.58,18.06635831,0.6526507,0.431322215,101.8606909,,,,,,,,,,,,,
176,caprolac-ne,,,114.07,237,-1.5,1,5.755026593,0.135,1.482396703,0.68,3.994062451,27.94537662,-0.063713361,0.740062081,0.9268142,19.7,15,7.4,110.8,,,,,,,,,,,,,
172,5-methyl-2-hexanone,,,114.1,151,-35.5,0.81,0.77,3.85,1.408,1.98,1.963311815,10.81694879,0.05,0.48,0.61,16.21634962,5.325753059,8.05221083,125.7354832,,,,,,,,,,,,,
173,Methyl iso-Amyl Ke-ne,,,114.1,144,-74,0.81,0.77,5.77,1.4062,1.72,1.815061582,13.04796902,0.206521592,0.469836707,0.435623245,16,5.7,4.1,142.8,,,,,,,,,,,,,
174,2-heptanone,,,114.1,144,-74,0.81,0.77,5.77,1.4062,1.72,1.815061582,13.04796902,0.206521592,0.469836707,0.435623245,16,5.7,4.1,141.3,,,,,,,,,,,,,
175,"2,4-dimethylpentan-3-one",,,114.1,125.4,-69,1.021529472,0.6836927,-11.98497553,1.47488819,1.86,2.73,25.71617463,-0.186697897,0.424520594,0.887760568,18.18472086,9.331089747,2.991464084,132.7664739,,,,,,,,,,,,,
171,octane,,,114.14,126,-56.8,0.7,0.5151,14.1,1.3974,4.59,1.098171175,5.495298343,0,0,0.01,15.39496604,2.13855227,0.920217547,131.3538156,,,,,,,,,,,,,
170,Dimethylethylene urea,No Ranking,,114.15,225,8,1.058,1.9256,0.1,1.472,-0.03,2.64,37.6,0.264705882,0.419019608,0.624716981,17.8,9.5,9.3,107.8922495,,No Group,,,,,,,,,,,318 Ã‚Â£/L
169,"N,N-diethylacetamide",,,115.1,185.5,20,0.913,4.985700038,-49.65852523,1.4374,0.34,3.857296035,27.94537662,0,0.78,0.84,18.62772814,9.258065842,8.414578706,130.6303335,,,,,,,,,,,,,
167,isobutylacetate,#9ACD32,,116,116.5,-98.8,0.88,0.69,17.776,1.4,1.72,1.87,5.6,0.077364752,0.318839871,0.363597062,15.1,3.7,6.3,133.5,,,,,,,,,,,,,
168,Ethyl butyrate,#9ACD32,,116,121.5,-98,0.87,0.63,14.476,1.392,1.7,1.8,5.1,0.000854217,0.229648936,0.478304731,15.5,5.6,5,132.9,,,,,,,,,,,,,
158,4-hydroxy-4-methyl-2-pentanone,,,116.08,170,-47,0.94,4.551966176,-74.25006985,1.4232,-0.445,3.24,20.91313313,0.414218532,0.705340701,0.805310013,15.8,8.2,10.8,124.2,,,,,,,,,,,,,
159,butylacetate,,,116.08,205,-3,0.9255,3.23,-53.9412294,1.4165,1.88,2.070766905,13.59212933,1.22,0.45,0.52,17.37814131,5.233832647,11.38767051,127.7635988,,,,,,,,,,,,,
160,propylpropionate,,,116.08,126,-78,0.88,0.685,11.5,1.3945,1.82,1.84,5.1,0,0.45,0.46,15.8,3.7,6.3,132.5,,,,,,,,,,,,,
161,secbutylacetate,,,116.08,123,-75.9,0.876,2.543676391,86.04880942,1.3935,1.985752237,1.79,4.7,0.265960435,0.199524724,0.406295678,15.5,5.6,5.7,132.5,,,,,,,,,,,,,
162,tertbutylacetate,,,116.08,118,-99,0.87,0.676,17.8,1.3905,1.6,1.87,6.12133618,0.000854217,0.211962681,0.353921499,15.36779382,4.254737669,4.035936323,125.2000724,,,,,,,,,,,,,
163,t-Butyl Acetate,,,116.08,112,-99,0.86,1.95895694,42.0419902,1.3888,1.51,0.769430239,5.321432496,0.205828543,0.314862657,0.219894796,15,3.7,7.6,134,,,,,,,,,,,,,
164,sec-Butyl Acetate,,,116.08,112,-99,0.86,1.95895694,42.0419902,1.3888,1.51,0.769430239,5.321432496,0.205828543,0.314862657,0.219894796,15,3.7,7.6,134,,,,,,,,,,,,,
165,hexanoic acid,,,116.08,97.8,-37.07817854,0.87,3.413982723,47,1.3855,1.76,1.91,11.97718347,0.397075266,0.295893896,0.324495141,15,3.7,6,134.8,,,,,,,,,,,,,
166,2-methylpropylacetate,,,116.08,97.8,-37.07817854,0.87,3.413982723,47,1.3855,1.76,1.91,11.97718347,0.397075266,0.295893896,0.324495141,15,3.7,6,134.8,,,,,,,,,,,,,
157,tetramethylurea,,,116.09,176.5,-1.2,0.9687,8.886657564,-83.64495398,1.4493,0.19,2.953249323,10.27057954,0.33580787,0.68663289,0.71121235,16.8,8.2,11,120.4,,,,,,,,,,,,,
156,heptan-1-ol,,,116.12,175,-34,0.8225,5.209118454,0.2163,1.425,2.62,1.188131365,6.475515092,0.171541936,0.442190794,0.182073277,16.81105235,0.51593623,2.329224031,130.3153591,,,,,,,,,,,,,
155,2-phenylace-nitrile,,,117.06,233.5,-23.8,1.0205,2.897896921,0.089,1.52105,1.56,3.171417766,18,0,0.41,1,18.54392006,7.302337928,4.504260565,133.2829191,,,,,,,,,,,,,
154,diethylcarbonate,,,118.06,126,-43,0.98,1.029203629,70.87850216,1.3845,1.21,1.1,9.487661754,0,0.4,0.45,16.6,3.1,6.1,121,,,,,,,,,,,,,
153,diisopropyl sulfide,,,118.08,121,-78.1,0.962766468,1.663059447,19.31262108,1.484926287,2.84,1.020342168,1.200676015,0,0.38,0.36,17.5429554,0.481590548,1.619418678,120.9646671,,,,,,,,,,,,,
150,ethyleneglycolbutylether,,,118.1,171,-75,0.9,5.797629054,0.88,1.4198,0.83,2.08,10.89150235,0.663125631,0.67599445,0.606392562,16,5.1,12.3,131.6,,,,,,,,,,,,,
151,Ethylene Glycol Monobutyl Ether,,,118.1,171,-75,0.9,5.797629054,0.88,1.4198,0.83,2.289602989,10.89150235,0.663125631,0.67599445,0.625795199,16,5.1,12.3,132,,,,,,,,,,,,,
152,1-propoxypropan-2-ol,,,118.1,150.2,-78.83208455,0.8886,2.297544565,2.2125,1.413,0.2538091,4.359972101,28.62004796,0.033710626,0.649176569,0.816846538,17.79115382,11.4734844,7.980066693,130.7502314,,,,,,,,,,,,,
149,Ethyl lactate,No Ranking,,118.13,154,-26,1.0328,2.398,3.75,1.4124,-0.19,2.55,13.1,0.69,0.52,0.82,16,7.6,12.5,114.3783888,,No Group,,,,,,,,,,,55 Ã‚Â£/L
148,Chloroform,Highly Hazardous,0,119.38,61.12,-63.47,1.484,0.54,197,1.4459,1.97,1.01,4.8,0.2,0.1,0.58,17.8,3.1,5.7,80.44332884,Chloroform,No Group,,,,,,,,,,,30 Ã‚Â£/L
147,sulfolane,,,120.02,285,27.6,1.2606,10.34,-19.41995292,1.481,-0.77,3.822656226,36.35353809,0,0.39,0.98,18,18,9.9,95.3,,,,,,,,,,,,,
146,ace-phenone,,,120.06,202,20,1.028,1.681,0.397,1.5325,1.58,3.908075478,32.04396507,0.04,0.49,0.9,19.6,8.6,3.7,117.4,,,,,,,,,,,,,
145,Methyl Carbi-l,,,120.08,193,-84,1.025,3.48,0.25,1.4264,-1.035,3.103156045,20.12096386,0.321279589,0.661043163,0.845578335,16.2,7.8,12.6,118.2,,,,,,,,,,,,,
143,mesitylene,,,120.09,165,-45,0.86,3.851845523,2.48,1.49541,3.42,1.229987908,3.4,0.136732751,0.315705243,0.436276745,18,0,0.6,139.8,,,,,,,,,,,,,
144,isopropylbenzene,,,120.09,152,-96,0.86,0.737,4.5,1.4915,3.66,0.740618251,1.37905795,-0.056293538,0.319682457,0.30064382,17.18062451,-0.2171058,0.911555198,123.0583274,,,,,,,,,,,,,
141,"N,N-dimethylaniline",,,121.09,193,2.5,0.96,1.3,0.7,1.5582,2.3,2.950512808,15.15336577,0,0.43,0.73,18.39539564,7.339009015,4.568505123,133.2829191,,,,,,,,,,,,,
142,n-ethylaniline,,,121.09,205,-63,0.96,17.16,66.33075297,1.5559,2.16,1.229987908,5.9,0.117172517,0.246120341,0.256275347,17.34125978,0.405059315,1.017205462,116.8795044,,,,,,,,,,,,,
140,ethyl chloroacetate,,,122.01,144.2,-26,1.01,2.93,41.22041736,1.4227,1.516462222,2.932021994,11.6,0,0.35,0.7,18.33966686,7.427548611,-0.046327473,123.510369,,,,,,,,,,,,,
139,benzoicacid,,,122.04,249,122,1,1.26,0.0007,1.504,1.87,1,14.21652747,0.645128266,0.468276629,0.835385134,18.2,7,9.8,100,,,,,,,,,,,,,
137,2-phenylethanol,,,122.07,219,-27,1.0185,6.70620778,-54.69999571,1.532,1.4,1.65,15.01271371,0.64,0.61,0.88,17.41795606,5.498091215,13.88190492,115.9053927,,,,,,,,,,,,,
138,ethoxybenzene,,,122.07,172,-30,0.224,4.2389,1.56,1.5076,2.51,2.022777549,4.5,0,0.3,0.69,17.83775179,3.132623368,5.810494001,122.6931664,,,,,,,,,,,,,
136,Nitrobenzene,No Ranking,,123.11,210.8,5.7,1.2037,1.863,0.245,1.5562,1.85,4.23,36.09,0,0.3,1.01,20,8.6,4.1,102.2763147,,No Group,,,,,,,,,,,52 Ã‚Â£/L
135,2-chloroaniline,,,127.02,209,-2,1,2.9157,0.204,1.58586,1.92,2.914731312,13.4,0.25,0.4,0.83,18.03333145,6.930574943,6.602957448,118.3940451,,,,,,,,,,,,,
134,"N,N-dimethylcyclohexylamine",,,127.14,163.5,-60,0.85,6.678725802,-26.57543573,1.45532307,2.01,1.658256433,5.956932038,0,0.84,0.23,17.01274797,1.856709777,6.902315362,131.2129528,,,,,,,,,,,,,
133,bromochloromethane,,,127.9,68,-88,1.93,3.284138528,142,1.4808,1.41,1.634748099,7.7,0.350535548,0.139477132,0.487725893,17.4,5.7,3.5,65,,,,,,,,,,,,,
132,3-chlorophenol,,,128,214,33,1.245,11.55,0.125,1.5565,2.495,3.595246754,30.18731621,1.57,0.23,0.77,18.55576087,8.980207875,7.659685,104.7469439,,,,,,,,,,,,,
131,naphthalene,,,128.06,218,80,1.15,0.754,0.085,1.4003,3.35,0.967537216,4.74434358,0.075203326,0.210112416,0.502099502,19.2,2,5.9,111.5,,,,,,,,,,,,,
130,Cyrene,No Ranking,,128.13,227,-20,1.25,11.62,0.11,1.4712,-0.71,4.4,3.4,0,0.61,0.93,18.8,10.6,6.9,102.504,,No Group,,,,58,100,,,,,51,122 Ã‚Â£/L
129,nonane,,,128.16,150.8,-51,0.72,0.6696,4.45,1.4058,5.65,1.243175704,9.216866782,0.08822508,0.436240263,0.213489105,15.87130137,3.698660106,1.468390627,133.6195837,,,,,,,,,,,,,
128,Dimethylpropylene urea,Problematic,2,128.18,246.5,-23,1.06,2.917,0,1.472,-0.03,4.17,36.12,0.264705882,0.419019608,1.08,18,10.5,9.7,120.9245283,,No Group,,,,,,,,,,,350 Ã‚Â£/L
127,(4-methylcyclohexyl)methanol,,,128.21,75,-59.46496634,0.9074,19,2.55,1.40077036,2.991536958,0.98145573,6.091574926,0.26516734,0.145156562,0.265275507,15.54359835,2.129052882,5.168036057,121.1969402,,,,,,,,,,,,,
126,quinoline,,,129.06,238,-15,1.09,2.997,-10.92385441,1.62683,2.06,3.182089848,16.99518731,0,0.64,0.92,19.4,7,7.6,118,,,,,,,,,,,,,
125,trichloroethylene,,,129.91,87,-86,1.46,0.545,69,1.4773,2.42,0.77,-2.008184188,-0.125237767,0.143299961,0.497779731,18,3.1,5.3,90.2,,,,,,,,,,,,,
124,Dibutyl ether,#FFD700,,130,140,-95,0.77,0.69,6.01,1.3992,3.21,1.362403946,3.1,0,0.46,0.27,15.2,3.4,3.2,170.4,,,,,,,,,,,,,
123,ethyl3-oxobutanoate,,,130.06,180.8,-45,1.025,6.860158995,-68.83085959,1.4195,0.27,3.206406689,15.9,0.431766125,0.626221926,0.798503379,17.00114265,8.077373008,11.6068919,127.2648482,,,,,,,,,,,,,
117,butylpropionate,,,130.1,223,-7.5,0.9175,3.4,0.0107,1.423,2.42,1.356953088,2.5,1.2,0.45,0.5,17.34089246,1.116135192,7.159582405,125.2963786,,,,,,,,,,,,,
118,isopentylacetate,,,130.1,149,-71,0.88,1.58,3.5,1.4023,2.18,1.333936978,5,0.192080153,0.306400867,0.274674034,15.8,3.3,6.1,148,,,,,,,,,,,,,
119,pentylacetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,0.965921192,2.661183649,0.008886868,0.335098403,0.284242388,15.3,3.1,7,148.8,,,,,,,,,,,,,
120,Iso-Pentyl Acetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,0.965921192,2.661183649,0.008886868,0.335098403,0.284242388,15.3,3.1,7,150.2,,,,,,,,,,,,,
121,heptanoic acid,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,0.965921192,6.454189167,0.024016495,0.228221213,0.274566826,15.36779382,1.993799114,2.104162262,125.6739775,,,,,,,,,,,,,
122,3-methylbutylacetate,,,130.1,146,-90,0.87,4.474516843,57.13876512,1.401,0.839708311,1.8,16.87010769,0.406069652,0.601350647,0.582904054,15.7,5.5,5.9,149.3,,,,,,,,,,,,,
115,1-octanol,,,130.14,194.5,-15.5,0.825,7.288,-37.07758769,1.4295,3,1.149156027,7.15181817,0.555810013,0.442190794,0.182073277,17,3.3,11.9,157.7,,,,,,,,,,,,,
